Einlieferung;Gewicht;Status;ID
202204031431;2;1;515927555
202204031433;5;0;432478322
202204031434;8;0;969035751
202204031434;3;0;260806324
202204031300;2;0;707817792
202204031424;7;0;596356174
202204031418;2;1;913739849
202204031453;9;0;951368816
202204031939;24;0;480765417
202204031437;7;0;365267956
202204031435;2;0;714239103
202204031429;8;1;621641348
202204031019;4;0;711104665
202204031351;23;0;503826827
202204031453;49;0;122268613
202204031452;5;0;563358514
202204031640;45;0;382035038
202204031442;23;0;759678881
202204031439;7;1;215713848
202204031605;3;0;998436127
202204031309;8;0;942036837
202204031441;2;1;299767476
202204031431;1;1;475868152
202204031441;2;0;334129184
202204031252;6;0;805564714
202204031431;8;0;391772033
202204031431;2;1;515927555
202204031433;5;0;432478322
202204031434;8;0;969035751
202204031434;3;0;260806324
202204031300;2;0;707817792
202204031424;7;0;596356174
202204031418;2;1;913739849
202204031453;9;0;951368816
202204031939;24;0;480765417
202204031437;7;0;365267956
202204031435;2;0;714239103
202204031429;8;1;621641348
202204031019;4;0;711104665
202204031351;23;0;503826827
202204031453;49;0;122268613
202204031452;5;0;563358514
202204031640;45;0;382035038
202204031442;23;0;759678881
202204031439;7;1;215713848
202204031605;3;0;998436127
202204031309;8;0;942036837
202204031441;2;1;299767476
202204031431;1;1;475868152
202204031441;2;0;334129184
202204031252;6;0;805564714
202204031431;8;0;391772033
202204031431;2;1;515927555
202204031433;5;0;432478322
202204031434;8;0;969035751
202204031434;3;0;260806324
202204031300;2;0;707817792
202204031424;7;0;596356174
202204031418;2;1;913739849
202204031453;9;0;951368816
202204031939;24;0;480765417
202204031437;7;0;365267956
202204031435;2;0;714239103
202204031429;8;1;621641348
202204031019;4;0;711104665
202204031351;23;0;503826827
202204031453;49;0;122268613
202204031452;5;0;563358514
202204031640;45;0;382035038
202204031442;23;0;759678881
202204031439;7;1;215713848
202204031605;3;0;998436127
202204031309;8;0;942036837
202204031441;2;1;299767476
202204031431;1;1;475868152
202204031441;2;0;334129184
202204031252;6;0;805564714
202204031431;8;0;391772033
202204031431;2;1;515927555
202204031433;5;0;432478322
202204031434;8;0;969035751
202204031434;3;0;260806324
202204031300;2;0;707817792
202204031424;7;0;596356174
202204031418;2;1;913739849
202204031453;9;0;951368816
202204031939;24;0;480765417
202204031437;7;0;365267956
202204031435;2;0;714239103
202204031429;8;1;621641348
202204031019;4;0;711104665
202204031351;23;0;503826827
202204031453;49;0;122268613
202204031452;5;0;563358514
202204031640;45;0;382035038
202204031442;23;0;759678881
202204031439;7;1;215713848
202204031605;3;0;998436127
202204031309;8;0;942036837
202204031441;2;1;299767476
202204031431;1;1;475868152
202204031441;2;0;334129184
202204031252;6;0;805564714
202204031431;8;0;391772033
202204031431;2;1;515927555
202204031433;5;0;432478322
202204031434;8;0;969035751
202204031434;3;0;260806324
202204031300;2;0;707817792
202204031424;7;0;596356174
202204031418;2;1;913739849
202204031453;9;0;951368816
202204031939;24;0;480765417
202204031437;7;0;365267956
202204031435;2;0;714239103
202204031429;8;1;621641348
202204031019;4;0;711104665
202204031351;23;0;503826827
202204031453;49;0;122268613
202204031452;5;0;563358514
202204031640;45;0;382035038
202204031442;23;0;759678881
202204031439;7;1;215713848
202204031605;3;0;998436127
202204031309;8;0;942036837
202204031441;2;1;299767476
202204031431;1;1;475868152
202204031441;2;0;334129184
202204031252;6;0;805564714
202204031431;8;0;391772033
202204031431;2;1;515927555
202204031433;5;0;432478322
202204031434;8;0;969035751
202204031434;3;0;260806324
202204031300;2;0;707817792
202204031424;7;0;596356174
202204031418;2;1;913739849
202204031453;9;0;951368816
202204031939;24;0;480765417
202204031437;7;0;365267956
202204031435;2;0;714239103
202204031429;8;1;621641348
202204031019;4;0;711104665
202204031351;23;0;503826827
202204031453;49;0;122268613
202204031452;5;0;563358514
202204031640;45;0;382035038
202204031442;23;0;759678881
202204031439;7;1;215713848
202204031605;3;0;998436127
202204031309;8;0;942036837
202204031441;2;1;299767476
202204031431;1;1;475868152
202204031441;2;0;334129184
202204031252;6;0;805564714
202204031431;8;0;391772033
