Einlieferung;Gewicht;Status;ID
04_03_2022_14_36;2;1;914031929
04_03_2022_14_37;5;0;928798639
04_03_2022_14_38;8;0;323915115
04_03_2022_14_39;3;0;723045292
04_03_2022_14_40;2;0;266643450
04_03_2022_14_41;7;0;222720046
04_03_2022_14_42;2;1;655078838
04_03_2022_14_43;9;0;935370823
04_03_2022_14_44;24;0;640912779
04_03_2022_14_45;7;0;399996211
04_03_2022_14_46;2;0;707555466
04_03_2022_14_47;8;1;235191225
04_03_2022_14_48;4;0;636153536
04_03_2022_14_49;23;0;111968904
04_03_2022_14_50;49;0;763116090
04_03_2022_14_51;5;0;132362036
04_03_2022_14_52;45;0;478940808
04_03_2022_14_53;23;0;374462142
04_03_2022_14_54;7;1;808088893
04_03_2022_14_55;3;0;947411542
04_03_2022_14_56;8;0;504002681
04_03_2022_14_57;2;1;527190196
04_03_2022_12_58;1;1;871444528
04_03_2022_18_59;2;0;863119390
04_03_2022_11_00;6;0;293209946
04_03_2022_13_01;8;0;165312109
